iter	RMSE
0	1620.168038
1	1549.549854
2	1488.806478
3	1435.530996
4	1390.098557
5	1350.276705
6	1315.802976
7	1285.389225
8	1261.044841
9	1238.363407
10	1216.853047
11	1196.554509
12	1179.21134
13	1166.575735
14	1156.157533
15	1144.219826
16	1134.082764
17	1126.539536
18	1121.355439
19	1115.014286
20	1109.787233
21	1104.601518
22	1100.638677
23	1096.63734
24	1093.27816
25	1090.539301
26	1087.728461
27	1085.916409
28	1083.699004
29	1082.310938
30	1081.089373
31	1079.470774
32	1078.276184
33	1077.398477
34	1076.619503
35	1075.780814
36	1074.986615
37	1074.669503
38	1074.016148
39	1073.478071
40	1073.049519
41	1072.572986
42	1071.57159
43	1070.964147
44	1070.71209
45	1070.297001
46	1069.568714
47	1069.238327
48	1068.844736
49	1068.481243
