iter	Passed	Remaining
0	155	7631
1	163	3918
2	171	2683
3	175	2020
4	180	1620
5	184	1355
6	189	1166
7	194	1018
8	198	905
9	202	809
10	206	730
11	209	664
12	214	609
13	218	562
14	222	519
15	227	483
16	232	450
17	236	419
18	242	394
19	246	370
20	250	345
21	254	323
22	258	303
23	262	284
24	267	267
25	274	253
26	278	237
27	284	223
28	287	208
29	290	193
30	294	180
31	298	167
32	302	155
33	306	144
34	313	134
35	318	123
36	323	113
37	327	103
38	330	93
39	334	83
40	338	74
41	343	65
42	347	56
43	352	48
44	357	39
45	364	31
46	369	23
47	374	15
48	379	7
49	383	0
